,isfake,title
0,half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.
1,mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."""
2,false,Health care reform legislation is likely to mandate free sex change surgeries.
3,half-true,The economic turnaround started at the end of my term.
4,true,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.
5,barely-true,Jim Dunnam has not lived in the district he represents for years now.
6,half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate."
7,half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific."
8,mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.
9,mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin."
10,half-true,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty."
11,false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it."
12,mostly-true,The economy bled $24 billion due to the government shutdown.
13,barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.
14,half-true,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote."
15,true,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' 
16,barely-true,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out"
17,half-true,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner."
18,mostly-true,"Almost 100,000 people left Puerto Rico last year."
19,false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.
20,mostly-true,The United States has the highest corporate tax rate in the free world.
21,mostly-true,We just had the best year for the auto industry in America in history.
22,half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care."
